lb,position,tag,type,key,name
0006a06,8,person,start,A001050,張商英
0006a06,10,person,end,A001050,張商英
0006a06,15,person,start,A001257,鍾大朗
0006a06,17,person,end,A001257,鍾大朗
0006a06,18,person,start,A001050,商英
0006a06,19,person,end,A001050,商英
0006a12,5,person,start,A003935,徽宗
0006a12,6,person,end,A003935,徽宗
0006a12,19,person,start,A003935,徽宗
0006a12,20,person,end,A003935,徽宗
0007a01,17,person,start,A001257,鍾大朗
0007a01,19,person,end,A001257,鍾大朗
0007a01,20,place,start,PL9918,蘇州
0007a01,21,place,end,PL9918,蘇州
0007a01,22,place,start,PL10106,木瀆
0007a01,23,place,end,PL10106,木瀆
0007a01,29,person,start,A002803,觀音
0007a01,30,person,end,A002803,觀音
0007a03,2,person,start,A001394,蓮池大師
0007a03,5,person,end,A001394,蓮池大師
0007a04,16,person,start,A001681,憨山
0007a04,17,person,end,A001681,憨山
0007a04,26,person,start,A001257,智旭
0007a04,27,person,end,A001257,智旭
0007a04,29,person,start,A001257,蕅益
0007a04,30,person,end,A001257,蕅益
0007a06,16,place,start,PL13120,北天目靈峯寺
0007a06,21,place,end,PL13120,北天目靈峯寺
0007a07,2,place,start,PL13120,靈峯
0007a07,3,place,end,PL13120,靈峯
0007a07,8,person,start,A003947,韓
0007a07,8,person,end,A003947,韓
0007a07,9,person,start,A009432,歐
0007a07,9,person,end,A009432,歐
0007a08,16,person,start,A003947,韓
0007a08,16,person,end,A003947,韓
0007a08,19,person,start,A000074,大顛禪師
0007a08,22,person,end,A000074,大顛禪師
0007a08,23,person,start,A009432,歐
0007a08,23,person,end,A009432,歐
0007a08,26,person,start,A000821,明教大師
0007a08,29,person,end,A000821,明教大師
0007a09,6,person,start,A001050,張
0007a09,6,person,end,A001050,張
0007a09,7,person,start,A001257,鍾
0007a09,7,person,end,A001257,鍾
0007a09,15,person,start,A006823,周
0007a09,15,person,end,A006823,周
0007a09,16,person,start,G000002,程
0007a09,16,person,end,G000002,程
0007a09,17,person,start,A007887,張
0007a09,17,person,end,A007887,張
0007a09,18,person,start,A003586,朱
0007a09,18,person,end,A003586,朱
0007a09,21,person,start,A002174,孔
0007a09,21,person,end,A002174,孔
0007a09,22,person,start,A004486,孟
0007a09,22,person,end,A004486,孟
0007a10,3,person,start,A006823,周茂叔
0007a10,5,person,end,A006823,周茂叔
0007a10,16,person,start,G000002,二程
0007a10,17,person,end,G000002,二程
0007a10,18,person,start,A007887,張
0007a10,18,person,end,A007887,張
0007a10,19,person,start,A003586,朱
0007a10,19,person,end,A003586,朱
0008a04,27,place,start,PL16725,九華山
0008a04,29,place,end,PL16725,九華山
0008a04,31,person,start,A004262,地藏菩薩
0008a05,2,person,end,A004262,地藏菩薩
0008a05,9,person,start,A004262,地藏菩薩
0008a05,12,person,end,A004262,地藏菩薩
0008a07,4,place,start,PL55447,忉利天
0008a07,6,place,end,PL55447,忉利天
0008a08,12,person,start,A004262,地藏
0008a08,13,person,end,A004262,地藏
0008a08,21,person,start,A004262,地藏
0008a08,22,person,end,A004262,地藏
0008a10,11,person,start,A001257,蕅益大師
0008a10,14,person,end,A001257,蕅益大師
0008a10,28,person,start,A004262,地藏
0008a10,29,person,end,A004262,地藏
0008a12,12,place,start,PL48606,新羅國
0008a12,14,place,end,PL48606,新羅國
0008a12,15,person,start,A002146,唐高宗
0008a12,17,person,end,A002146,唐高宗
0008a12,22,place,start,PL48597,高句麗
0008a12,24,place,end,PL48597,高句麗
0008a12,25,place,start,PL48606,新羅
0008a12,26,place,end,PL48606,新羅
