lb,position,tag,type,key,name
f3a01,1,place,start,PL11772,徑山
f3a01,2,place,end,PL11772,徑山
f3a02,7,person,start,A000589,釋宗净
f3a02,9,person,end,A000589,釋宗净
f3a02,25,place,start,PL13508,金華
f3a02,26,place,end,PL13508,金華
f3a02,29,place,start,PL11848,徑山興聖萬壽禪寺
f3a03,7,place,end,PL11848,徑山興聖萬壽禪寺
f3a04,4,place,start,PL11882,浙江余杭縣
f3a04,8,place,end,PL11882,浙江余杭縣
f3a05,2,place,start,PL12081,天目山
f3a05,4,place,end,PL12081,天目山
f3a06,31,person,start,A004218,欽禪師
f3a06,33,person,end,A004218,欽禪師
f3a07,7,person,start,A004379,代宗
f3a07,8,person,end,A004379,代宗
f3a07,17,person,start,A004218,國一大覺
f3a07,20,person,end,A004218,國一大覺
f3a07,29,place,start,PL11848,徑山寺
f3a08,1,place,end,PL11848,徑山寺
f3a08,13,place,start,PL11848,乾符鎮國院
f3a08,17,place,end,PL11848,乾符鎮國院
f3a09,3,place,start,PL11848,承天禪院
f3a09,6,place,end,PL11848,承天禪院
f3a09,18,place,start,PL11848,能仁禪院
f3a09,21,place,end,PL11848,能仁禪院
f3a09,25,place,start,PL11848,興聖萬壽禪寺
f3a10,1,place,end,PL11848,興聖萬壽禪寺
f3a11,5,place,start,PL11848,徑山寺
f3a11,7,place,end,PL11848,徑山寺
f3a12,3,place,start,PL11772,徑山
f3a12,4,place,end,PL11772,徑山
f3a12,6,place,start,PL56236,圓覺閣
f3a12,8,place,end,PL56236,圓覺閣
f3a14,1,person,start,A022939,曾學文
f3a14,3,person,end,A022939,曾學文
0001a01,9,place,start,PL10787,揚州
0001a01,10,place,end,PL10787,揚州
0001a01,11,person,start,A022938,馬氏
0001a01,12,person,end,A022938,馬氏
0001a02,2,place,start,PL11848,徑山興聖萬壽禪寺
0001a02,9,place,end,PL11848,徑山興聖萬壽禪寺
0001a02,12,place,start,PL13508,金華
0001a02,13,place,end,PL13508,金華
0001a02,14,person,start,A000589,宗净
0001a02,15,person,end,A000589,宗净
0001a03,4,place,start,PL12119,臨安縣
0001a03,6,place,end,PL12119,臨安縣
0001a03,7,place,start,PL12081,天目山
0001a03,9,place,end,PL12081,天目山
0001a03,13,person,start,A004218,國一禪師法欽
0001a03,18,person,end,A004218,國一禪師法欽
0001a03,22,person,start,A004379,代宗
0001a03,23,person,end,A004379,代宗
0001a03,27,place,start,PL11848,乾符
0001a03,28,place,end,PL11848,乾符
